001A011B-8C28-46B9-BA86-186C18213E1A,count,79
001A011B-8C28-46B9-BA86-186C18213E1A,unique,1
001A011B-8C28-46B9-BA86-186C18213E1A,top,United States Department of Veterans Affairs
001A011B-8C28-46B9-BA86-186C18213E1A,freq,79
00224226-4A39-435C-BFFD-672B5D61C7C1,count,3
00224226-4A39-435C-BFFD-672B5D61C7C1,unique,1
00224226-4A39-435C-BFFD-672B5D61C7C1,top,Azerenerji
00224226-4A39-435C-BFFD-672B5D61C7C1,freq,3
002599D4-A872-433B-9980-BD9F257B283F,count,42
002599D4-A872-433B-9980-BD9F257B283F,unique,1
002599D4-A872-433B-9980-BD9F257B283F,top,Sutter Medical Foundation
002599D4-A872-433B-9980-BD9F257B283F,freq,42
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,count,48
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,unique,1
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,top,Blue Cross and Blue Shield of Rhode Island
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,freq,48
0096EF99-D9CB-4869-9F3D-F4E0D84F419B,count,84
0096EF99-D9CB-4869-9F3D-F4E0D84F419B,unique,1
0096EF99-D9CB-4869-9F3D-F4E0D84F419B,top,Friendship Center Dental Office
0096EF99-D9CB-4869-9F3D-F4E0D84F419B,freq,84
00DCB3AD-AF4C-4AC1-8A6E-682DB697C727,count,28
00DCB3AD-AF4C-4AC1-8A6E-682DB697C727,unique,1
00DCB3AD-AF4C-4AC1-8A6E-682DB697C727,top,"Amerigroup Community Care of New Mexico, Inc"
00DCB3AD-AF4C-4AC1-8A6E-682DB697C727,freq,28
00EB741C-0DFD-453E-9AC2-B00E512897DA,count,83
00EB741C-0DFD-453E-9AC2-B00E512897DA,unique,1
00EB741C-0DFD-453E-9AC2-B00E512897DA,top,St. Mary's Janesville Hospital
00EB741C-0DFD-453E-9AC2-B00E512897DA,freq,83
010DF8F5-3FAC-4C67-B220-A814CCE64D2F,count,1
010DF8F5-3FAC-4C67-B220-A814CCE64D2F,unique,1
010DF8F5-3FAC-4C67-B220-A814CCE64D2F,top,United States Department of Veterans Affairs
010DF8F5-3FAC-4C67-B220-A814CCE64D2F,freq,1
012E4242-E4BD-4B44-9C3C-DC4DBBD190E6,count,4
012E4242-E4BD-4B44-9C3C-DC4DBBD190E6,unique,1
012E4242-E4BD-4B44-9C3C-DC4DBBD190E6,top,"Mangement of Aggressive Behavior Training International, Inc"
012E4242-E4BD-4B44-9C3C-DC4DBBD190E6,freq,4
0143B312-F58E-4BA0-B20D-4D048F4AC9A4,count,2
0143B312-F58E-4BA0-B20D-4D048F4AC9A4,unique,1
0143B312-F58E-4BA0-B20D-4D048F4AC9A4,top,Luxor Industries
0143B312-F58E-4BA0-B20D-4D048F4AC9A4,freq,2
01444861-9D3E-4207-839D-F3B7D1AB4A89,count,47
01444861-9D3E-4207-839D-F3B7D1AB4A89,unique,1
01444861-9D3E-4207-839D-F3B7D1AB4A89,top,Rose Medical Center
01444861-9D3E-4207-839D-F3B7D1AB4A89,freq,47
014876A1-AC39-452B-91CC-C714C3F1D79D,count,24
014876A1-AC39-452B-91CC-C714C3F1D79D,unique,1
